bu_team_code,bu_team_name,opponent_code,opponent_name,pool_key,first_loss_date,reversal_win_date,days_to_reversal,first_loss_point_margin,reversal_win_point_margin,point_margin_swing,first_loss_event,reversal_win_event
G14RRJVB1NE,Boston United 14 National,G14DDVBC4NE,Dig Deep 14 Stars,G14,2026-02-21,2026-04-12,50,-15.0,11.0,26.0,AAUCL26#2-MA,AAUAprilChallenge26
G14RRJVB2NE,Boston United 14 Northeast,G14TTVBC2NE,SLAM 14P Red,G14,2026-03-21,2026-04-12,22,-7.0,6.0,13.0,AAUSpringKickOff26,AAUAprilChallenge26
G14RRJVB7NE,Boston United 14 Titanium,G14AVVBC3NE,Avidity 14 Emerald,G14,2026-04-11,2026-04-12,1,-5.0,1.0,6.0,AAUAprilChallenge26,AAUAprilChallenge26
G17RRJVB2NE,Boston United 17 National - Dimitri,G17HRJVB1NE,HardRock 17,G17,2025-12-06,2026-04-11,126,-27.0,-3.0,24.0,25AAUHomeHolidaysGir,AAUAprilChallenge26
G16RRJVB7NE,Boston United 16 Titanium,G16MIVBC4NE,Mass Impact 16 Cam,G16,2026-01-24,2026-04-11,77,-9.0,5.0,14.0,AAUChampsLeague26#1,AAUAprilChallenge26
G13RRJVB4NE,Boston United 13 Sapphire,G13LDNER3NE,Lockdown VBC 13 Robins,G13,2026-02-21,2026-04-11,49,-18.0,-5.0,13.0,AAUCL26#2-MA,AAUAprilChallenge26
G13RRJVB2NE,Boston United 13 Select - Brittany,G13TTVBC2NE,SLAM 13P Red,G13,2026-02-21,2026-03-22,29,-2.0,20.0,22.0,AAUCL26#2-MA,AAUSpringKickOff26
G18RRJVB3NE,Boston United 18 Select,G18MAPVB3NE,Mass Power VB 18 Pink,G18,2026-02-22,2026-03-22,28,-9.0,13.0,22.0,AAUCL26#2-MA,AAUSpringKickOff26
G18RRJVB2NE,Boston United 18 Northeast,G18MIVBC2NE,Mass Impact 18 Mike,G18,2025-12-07,2026-03-22,105,2.0,19.0,17.0,25AAUHomeHolidaysGir,AAUSpringKickOff26
G17RRJVB4NE,Boston United 17 Select 1,G17TTVBC4NE,SLAM 17R Silver,G17,2026-01-24,2026-03-22,57,2.0,8.0,6.0,AAUChampsLeague26#1,AAUSpringKickOff26
G16RRJVB2NE,Boston United 16 Northeast,G16LDNER3NE,Lockdown VBC 16 Thunder Birds,G16,2026-01-24,2026-03-21,56,-11.0,9.0,20.0,AAUChampsLeague26#1,AAUSpringKickOff26
B17RRJVB3NE,Boston United Boys 17 Select 1,B17MVNER2NE,Meraki VB 17 2,B17,2026-03-14,2026-03-15,1,-10.0,16.0,26.0,AAUBoysReg2026,AAUBoysReg2026
B17RRJVB2NE,Boston United Boys 17 Northeast,B17CAPIT2XL,CSVC 17 SKYLIGHT,B17,2026-02-07,2026-03-15,36,-4.0,5.0,9.0,New York City Open,AAUBoysReg2026
B15RRJVB1NE,Boston United Boys 15 National,B15SJJVB1NE,SMASH Boys 15-1,B15,2025-12-20,2026-03-15,85,6.0,6.0,0.0,AAUUpstateCup2026,AAUBoysReg2026
B17RRJVB1NE,Boston United Boys 17 National 1,B17MVNER1NE,Meraki VB 17 1,B17,2025-11-22,2026-03-14,112,0.0,12.0,12.0,25AAUSeasonOpener,AAUBoysReg2026
B16RRJVB1NE,Boston United Boys 16 National 1,B16NESVC1NE,NE Storm 16 Lightning,B16,2025-11-22,2026-03-14,112,-6.0,3.0,9.0,25AAUSeasonOpener,AAUBoysReg2026
B18RRJVB1NE,Boston United Boys 18 1,B18NESVC1NE,NE Storm 18 Thunder,B18,2026-01-17,2026-03-14,56,-1.0,8.0,9.0,26NEAAUMLK,AAUBoysReg2026
G17RRJVB2NE,Boston United 17 National - Dimitri,G17DDVBC1NE,Dig Deep 17 Ginger,G17,2026-01-11,2026-02-21,41,11.0,22.0,11.0,AAUBallDropBlock2026,AAUCL26#2-MA
G17RRJVB3NE,Boston United 17 Northeast,G17113231XX,EliteZ 17 GIRLS HP BLACK,G17,2026-01-24,2026-02-21,28,2.0,8.0,6.0,AAUChampsLeague26#1,AAUCL26#2-MA
G16RRJVB3NE,Boston United 16 Select 1,G16PVJVB3NE,PV 16 Select,G16,2026-02-07,2026-02-08,1,12.0,30.0,18.0,AAUGPTWO2026,AAUGPTWO2026
B17RRJVB1NE,Boston United Boys 17 National 1,B17MVPVA1NE,MVP BOS 17 Black,B17,2025-11-22,2026-02-08,78,2.0,19.0,17.0,25AAUSeasonOpener,New York City Open
G16RRJVB2NE,Boston United 16 Northeast,G16NEVBC3NE,Northeast 16.3,G16,2025-12-06,2026-02-07,63,-17.0,-1.0,16.0,25AAUHomeHolidaysGir,New York City Open
B17RRJVB3NE,Boston United Boys 17 Select 1,B17LHVBC2NE,LHV Boys 17-2 Boom,B17,2025-11-22,2026-02-01,71,-9.0,25.0,34.0,25AAUSeasonOpener,AAUGrandPrixOne2026
B15RRJVB2NE,Boston United Boys 15 Select 1,B15SJVBC1NE,South County Juniors Boys 15 1,B15,2025-11-22,2026-01-31,70,2.0,5.0,3.0,25AAUSeasonOpener,AAUGrandPrixOne2026
B17RRJVB3NE,Boston United Boys 17 Select 1,B17PVJVB2NE,PV Boys 17 2,B17,2026-01-19,2026-01-31,12,-1.0,2.0,3.0,26NEAAUMLK,AAUGrandPrixOne2026
G17RRJVB2NE,Boston United 17 National - Dimitri,G17MCJVB2NE,Mill City 17 Orange,G17,2025-12-07,2026-01-24,48,-4.0,0.0,4.0,25AAUHomeHolidaysGir,AAUChampsLeague26#1
B16RRJVB3NE,Boston United Boys 16 Select 1,B16LHVBC2NE,LHV Boys 16-2 Hunters,B16,2025-11-22,2026-01-18,57,-15.0,12.0,27.0,25AAUSeasonOpener,26NEAAUMLK
B17RRJVB2NE,Boston United Boys 17 Northeast,B17NESVC2NE,NE Storm 17 Landslide,B17,2025-11-23,2026-01-17,55,-4.0,16.0,20.0,25AAUSeasonOpener,26NEAAUMLK
G14RRJVB2NE,Boston United 14 Northeast,G14VVVBC1NE,Vibe Girls 14u Joey,G14,2026-01-10,2026-01-11,1,6.0,17.0,11.0,AAUBallDropBlock2026,AAUBallDropBlock2026
B14RRJVB1NE,Boston United Boys 14-1,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,2025-11-22,2025-11-23,1,-17.0,10.0,27.0,25AAUSeasonOpener,25AAUSeasonOpener
B18RRJVB1NE,Boston United Boys 18 1,B18BVJVB1NE,Blast 18 Fire,B18,2025-11-22,2025-11-23,1,-15.0,4.0,19.0,25AAUSeasonOpener,25AAUSeasonOpener
B16RRJVB1NE,Boston United Boys 16 National 1,B16MVPVA1NE,MVP BOS 16 Black,B16,2025-11-22,2025-11-23,1,-9.0,7.0,16.0,25AAUSeasonOpener,25AAUSeasonOpener
